;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,0,0.762566,-0.0549044
1,0.001,0.762566,-0.0549044
2,0.002,0.762566,-0.0549044
3,0.003,0.764305,-0.0549044
4,0.004,0.764305,-0.0549044
5,0.005,0.764305,-0.0549044
6,0.006,0.764305,-0.0549044
7,0.007,0.762566,-0.0549044
8,0.008,0.764305,-0.0549044
9,0.009,0.764305,-0.0549044
10,0.01,0.764305,-0.0549044
11,0.011,0.764305,-0.0549044
12,0.012,0.764305,-0.0549044
13,0.013,0.767783,-0.0549044
14,0.014,0.764305,-0.0549044
15,0.015,0.764305,-0.0549044
16,0.016,0.764305,-0.0549044
17,0.017,0.764305,-0.0549044
18,0.018,0.764305,-0.0549044
19,0.019,0.764305,-0.0549044
20,0.02,0.766044,-0.0549044
21,0.021,0.766044,-0.0549044
22,0.022,0.766044,-0.0549044
23,0.023,0.764305,-0.0549044
24,0.024,0.764305,-0.0549044
25,0.025,0.766044,-0.0549044
26,0.026,0.766044,-0.0549044
27,0.027,0.766044,-0.0549044
28,0.028,0.766044,-0.0549044
29,0.029,0.766044,-0.0366029
30,0.03,0.766044,-0.0366029
31,0.031,0.759089,-0.0549044
32,0.032,0.759089,-0.0549044
33,0.033,0.764305,-0.0549044
34,0.034,0.762566,-0.0549044
35,0.035,0.762566,-0.0549044
36,0.036,0.762566,-0.0549044
37,0.037,0.764305,-0.0549044
38,0.038,0.762566,-0.0549044
39,0.039,0.762566,-0.0549044
40,0.04,0.762566,-0.0549044
41,0.041,0.762566,-0.0549044
42,0.042,0.762566,-0.0549044
43,0.043,0.762566,-0.0549044
44,0.044,0.762566,-0.0549044
45,0.045,0.764305,-0.0549044
46,0.046,0.764305,-0.0549044
47,0.047,0.762566,0
48,0.048,0.762566,0
49,0.049,0.762566,-0.0549044
50,0.05,0.762566,-0.0549044
51,0.051,0.762566,-0.0549044
52,0.052,0.764305,-0.0549044
53,0.053,0.764305,-0.0549044
54,0.054,0.766044,-0.0549044
55,0.055,0.762566,-0.0549044
56,0.056,0.762566,-0.0549044
57,0.057,0.762566,-0.0549044
58,0.058,0.762566,-0.0549044
59,0.059,0.762566,-0.0549044
60,0.06,0.764305,-0.0549044
61,0.061,0.764305,-0.0549044
62,0.062,0.766044,-0.0549044
63,0.063,0.762566,-0.0549044
64,0.064,0.762566,-0.0549044
65,0.065,0.762566,-0.0549044
66,0.066,0.762566,-0.0549044
67,0.067,0.762566,-0.0366029
68,0.068,0.762566,-0.0366029
69,0.069,0.766044,-0.0549044
70,0.07,0.766044,-0.0549044
71,0.071,0.762566,-0.0549044
72,0.072,0.762566,-0.0549044
73,0.073,0.762566,-0.0549044
74,0.074,0.762566,-0.0549044
75,0.075,0.762566,-0.0549044
76,0.076,0.766044,-0.0549044
77,0.077,0.764305,-0.0549044
78,0.078,0.764305,-0.0549044
79,0.079,0.764305,-0.0549044
80,0.08,0.764305,-0.0549044
81,0.081,0.764305,-0.0549044
82,0.082,0.764305,-0.0549044
83,0.083,0.764305,-0.0549044
