;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.8,0.30958,-0.0549044
1,-0.799,0.30958,-0.0549044
2,-0.798,0.30958,-0.0549044
3,-0.797,0.30958,-0.0549044
4,-0.796,0.30958,-0.0549044
5,-0.795,0.311319,-0.0549044
6,-0.794,0.30958,-0.0549044
7,-0.793,0.30958,-0.0549044
8,-0.792,0.30958,-0.0549044
9,-0.791,0.30958,-0.0549044
10,-0.79,0.30958,-0.0549044
11,-0.789,0.30958,-0.0549044
12,-0.788,0.313057,-0.0549044
13,-0.787,0.311319,-0.0549044
14,-0.786,0.30958,-0.0549044
15,-0.785,0.30958,-0.0549044
16,-0.784,0.30958,-0.0549044
17,-0.783,0.30958,-0.0549044
18,-0.782,0.30958,-0.0549044
19,-0.781,0.313057,-0.0549044
20,-0.78,0.311319,-0.0549044
21,-0.779,0.313057,-0.0549044
22,-0.778,0.30958,-0.0549044
23,-0.777,0.311319,-0.0549044
24,-0.776,0.311319,-0.0549044
25,-0.775,0.311319,-0.0549044
26,-0.774,0.311319,-0.0549044
27,-0.773,0.311319,-0.0549044
28,-0.772,0.311319,-0.0549044
29,-0.771,0.313057,-0.0549044
30,-0.77,0.30958,-0.0549044
31,-0.769,0.30958,-0.0549044
32,-0.768,0.30958,-0.0549044
33,-0.767,0.30958,-0.0549044
34,-0.766,0.30958,-0.0549044
35,-0.765,0.30958,-0.0549044
36,-0.764,0.30958,-0.0549044
37,-0.763,0.30958,-0.0549044
38,-0.762,0.30958,-0.0549044
39,-0.761,0.30958,-0.0549044
40,-0.76,0.30958,-0.0549044
41,-0.759,0.30958,-0.0549044
42,-0.758,0.30958,-0.0549044
43,-0.757,0.30958,-0.0549044
44,-0.756,0.30958,-0.0549044
45,-0.755,0.30958,-0.0549044
46,-0.754,0.30958,-0.0549044
47,-0.753,0.30958,-0.0549044
48,-0.752,0.30958,-0.0549044
49,-0.751,0.30958,-0.0549044
50,-0.75,0.30958,-0.0549044
51,-0.749,0.30958,-0.0549044
52,-0.748,0.311319,-0.0549044
53,-0.747,0.311319,-0.0549044
54,-0.746,0.30958,-0.0549044
55,-0.745,0.30958,-0.0549044
56,-0.744,0.30958,-0.0549044
57,-0.743,0.30958,-0.0549044
58,-0.742,0.30958,-0.0549044
59,-0.741,0.30958,-0.0549044
60,-0.74,0.311319,-0.0549044
61,-0.739,0.311319,-0.0549044
62,-0.738,0.30958,-0.0549044
63,-0.737,0.30958,-0.0549044
64,-0.736,0.30958,-0.0549044
65,-0.735,0.30958,-0.0549044
66,-0.734,0.30958,-0.0549044
67,-0.733,0.30958,-0.0549044
68,-0.732,0.311319,-0.0549044
69,-0.731,0.311319,-0.0549044
70,-0.73,0.30958,-0.0549044
71,-0.729,0.30958,-0.0549044
72,-0.728,0.30958,-0.0549044
73,-0.727,0.30958,-0.0549044
74,-0.726,0.30958,-0.0549044
75,-0.725,0.30958,-0.0549044
76,-0.724,0.311319,-0.0549044
77,-0.723,0.313057,-0.0549044
78,-0.722,0.30958,-0.0549044
79,-0.721,0.30958,-0.0549044
80,-0.72,0.311319,-0.0549044
81,-0.719,0.311319,-0.0549044
82,-0.718,0.311319,-0.0549044
83,-0.717,0.311319,-0.0549044
84,-0.716,0.311319,-0.0549044
85,-0.715,0.311319,-0.0549044
86,-0.714,0.311319,-0.0549044
87,-0.713,0.311319,-0.0549044
