cfo,sto,snr,txp,ber,invalid
5633.076378310801,4,12.3,0,0.0,0
5624.9473503678255,1,12.08,0,0.0,0
5652.575666973925,0,12.2,0,0.0,0
5647.199023042854,1,14.2,0,0.0,0
5666.911922126066,4,14.35,0,0.0,0
5656.095277832781,6,12.52,0,0.0,0
5628.582385458498,5,9.91,0,0.0,0
5672.766282749731,4,10.01,0,0.0,0
5636.34890387549,1,12.08,0,0.0,0
5637.3767892600645,1,12.26,0,0.0,0
5684.031280215217,1,10.64,0,0.0,0
5645.6944529088205,0,9.76,0,0.0,0
5672.2820035854,7,9.46,0,0.0,0
5674.867006740988,1,9.11,0,0.0,0
5668.357541310851,4,9.01,0,0.0,0
5660.028795063799,2,9.34,0,0.0,0
5631.096722316272,0,10.05,0,0.0,0
5663.5296812305805,4,10.44,0,0.0,0
5606.713631732823,1,10.61,0,0.0,0
5673.893969560363,1,10.61,0,0.0,0
5649.550916062454,4,10.5,0,0.0,0
5654.823022433413,0,10.43,0,0.0,0
5650.922529867366,0,10.48,0,0.0,0
5660.459676874933,5,10.49,0,0.0,0
5677.170502061458,0,10.6,0,0.0,0
5624.094861583944,4,10.91,0,0.0,0
5676.23093575704,6,11.15,0,0.0,0
5645.38427805063,5,11.36,0,0.0,0
5665.898772131915,7,11.53,0,0.0,0
5631.926547941721,7,11.69,0,0.0,0
5616.461789766557,1,11.9,0,0.0,0
5625.556900111826,6,12.07,0,0.0,0
5658.116078862998,0,12.2,0,0.0,0
5684.611450605039,7,12.29,0,0.0,0
5625.493508114496,0,12.32,0,0.0,0
5640.197708926205,4,12.35,0,0.0,0
5642.791730322897,0,12.27,0,0.0,0
5639.367406685906,1,12.24,0,0.0,0
5629.46590355407,1,12.15,0,0.0,0
5642.112152775055,0,12.14,0,0.0,0
5663.698426100544,1,12.01,0,0.0,0
5642.425262670949,2,12.0,0,0.0,0
5644.955030842424,1,11.98,0,0.0,0
5675.817662952366,1,11.99,0,0.0,0
5639.72884241075,1,11.95,0,0.0,0
5629.314183348201,4,11.86,0,0.0,0
5654.556635737634,0,11.93,0,0.0,0
5646.649505109765,0,11.9,0,0.0,0
5657.253215683362,0,11.94,0,0.0,0
5644.744065009318,5,11.95,0,0.0,0
5649.813137379151,7,11.97,0,0.0,0
5675.894539268321,0,11.96,0,0.0,0
5670.638813566483,0,12.0,0,0.0,0
5652.0872813329,2,12.04,0,0.0,0
5648.003362792554,1,12.08,0,0.0,0
5678.029323815999,0,12.0,0,0.0,0
5628.100353008412,0,12.06,0,0.0,0
5659.917781634085,2,12.06,0,0.0,0
5658.297775119113,0,12.08,0,0.0,0
5649.2762356607345,1,12.11,0,0.0,0
5647.495469384609,0,12.08,0,0.0,0
5665.846855670318,7,12.11,0,0.0,0
5631.705085368016,2,12.2,0,0.0,0
5662.220056674652,0,12.17,0,0.0,0
5673.42071729982,4,12.19,0,0.0,0
5635.355130474873,6,12.16,0,0.0,0
5643.404239591437,1,12.14,0,0.0,0
5647.037190613475,4,12.16,0,0.0,0
5622.4020797092,7,12.16,0,0.0,0
5646.364879705641,4,12.14,0,0.0,0
5632.339341932438,0,12.15,0,0.0,0
5657.066154616827,1,12.18,0,0.0,0
5645.691747419614,0,12.13,0,0.0,0
5651.324063212718,1,12.19,0,0.0,0
5665.568645611789,1,12.18,0,0.0,0
5635.984535559087,5,12.2,0,0.0,0
5643.139820636182,0,12.18,0,0.0,0
5613.324808406633,1,12.23,0,0.0,0
5650.721918241031,1,12.18,0,0.0,0
5631.661018287438,4,12.18,0,0.0,0
5652.254263854794,0,12.18,0,0.0,0
5655.572405202203,4,12.25,0,0.0,0
5644.950329850983,4,12.21,0,0.0,0
5637.7349411992245,0,12.22,0,0.0,0
5640.865960033066,4,12.23,0,0.0,0
5640.522680190633,1,12.28,0,0.0,0
5636.0529564594735,0,12.24,0,0.0,0
5646.390109929815,0,12.34,0,0.0,0
5651.121418598987,1,12.28,0,0.0,0
5631.153365840955,1,12.35,0,0.0,0
5652.560967720963,0,12.33,0,0.0,0
5630.0174680805585,2,12.32,0,0.0,0
5625.816034450684,1,12.29,0,0.0,0
5668.384305656237,0,12.22,0,0.0,0
5636.953043874078,0,12.19,0,0.0,0
5637.262972097135,1,12.1,0,0.0,0
5661.312937161195,1,12.13,0,0.0,0
5667.181069492657,1,12.02,0,0.0,0
5643.425000479133,0,11.82,0,0.0,0
5652.182235967427,0,11.6,0,0.0,0
5645.455206372908,1,11.34,0,0.0,0
5646.997186847589,5,11.46,0,0.0,0
5653.357837906062,1,11.51,0,0.0,0
5676.125174897321,6,11.3,0,0.0,0
5647.0768020054875,0,11.05,0,0.0,0
5646.034378966946,4,11.17,0,0.0,0
5638.977649178865,0,11.26,0,0.0,0
5676.27636285118,6,11.38,0,0.0,0
5662.087446787428,0,11.21,0,0.0,0
5665.685103480733,4,11.15,0,0.0,0
5642.384633578156,1,11.06,0,0.0,0
5669.769204447477,1,10.96,0,0.0,0
5628.5080542095075,0,10.94,0,0.0,0
5620.235899176213,0,10.94,0,0.0,0
5656.79119256274,2,10.86,0,0.0,0
5685.766130677619,6,10.68,0,0.0,0
5640.004498153718,0,10.66,0,0.0,0
5657.415303815602,4,10.56,0,0.0,0
5671.773042851768,0,10.53,0,0.0,0
5682.316007641742,1,10.63,0,0.0,0
5645.955362925346,1,10.53,0,0.0,0
5660.204778630568,7,10.49,0,0.0,0
5652.277534731842,0,10.48,0,0.0,0
5664.88287822045,4,10.42,0,0.0,0
5653.625515047654,6,10.38,0,0.0,0
5691.133133633503,4,10.32,0,0.0,0
5674.574285950445,0,10.29,0,0.0,0
5668.468319650188,4,10.31,0,0.0,0
5634.470145604328,4,10.37,0,0.0,0
5639.20720211766,7,10.38,0,0.0,0
5650.539529540064,2,10.31,0,0.0,0
5664.578882171627,4,10.31,0,0.0,0
5614.990864075976,1,10.26,0,0.0,0
5671.584045791198,0,10.24,0,0.0,0
5658.159734104196,5,10.25,0,0.0,0
5681.2447699036575,1,10.2,0,0.0,0
5657.173198444201,6,10.2,0,0.0,0
5682.8936210343945,5,10.2,0,0.0,0
5657.14684162711,1,10.12,0,0.0,0
5636.309796940066,1,10.23,0,0.0,0
5619.394304138825,2,10.2,0,0.0,0
5644.031772264897,4,10.17,0,0.0,0
5649.056243028041,7,10.21,0,0.0,0
5648.234751967693,0,10.13,0,0.0,0
5635.351781371109,0,10.02,0,0.0,0
5601.5117641685565,1,10.01,0,0.0,0
5629.448817748987,4,10.1,0,0.0,0
5650.785219211478,4,10.01,0,0.0,0
5659.240120347875,0,10.09,0,0.0,0
5643.827118505429,4,10.15,0,0.0,0
5636.029119335812,2,10.11,0,0.0,0
5660.7280914859775,4,10.23,0,0.0,0
5654.427388726705,4,10.22,0,0.0,0
5639.451907216048,6,10.22,0,0.0,0
5654.367549404836,0,10.18,0,0.0,0
5646.807110780373,1,10.19,0,0.0,0
5669.374569316071,4,10.25,0,0.0,0
5654.038863667441,7,10.34,0,0.0,0
5643.452447019378,7,10.41,0,0.0,0
5656.399433379647,6,10.59,0,0.0,0
5665.739740260613,7,10.68,0,0.0,0
5633.725166209792,0,10.83,0,0.0,0
5645.370062773019,0,11.0,0,0.0,0
5638.551451236147,0,11.24,0,0.0,0
5655.326351992332,0,11.27,0,0.0,0
5645.820071414838,7,11.32,0,0.0,0
5635.847751119247,6,11.36,0,0.0,0
5665.76919033413,3,11.41,0,0.0,0
5646.352133228956,0,11.42,0,0.0,0
5636.423249369038,0,11.53,0,0.0,0
5648.762228063667,0,11.49,0,0.0,0
5638.487348463301,7,11.42,0,0.0,0
5656.311408803227,7,11.48,0,0.0,0
5667.075004650108,0,11.45,0,0.0,0
5629.5692999558405,5,11.39,0,0.0,0
5654.902567797476,0,11.33,0,0.0,0
5657.263255320938,7,11.25,0,0.0,0
5644.902250778479,0,11.16,0,0.0,0
5649.409753243538,5,11.13,0,0.0,0
5644.844313839833,1,11.14,0,0.0,0
5667.065922866531,7,11.09,0,0.0,0
5675.190392400421,4,11.0,0,0.0,0
5642.6434258292165,7,10.96,0,0.0,0
5666.186057126354,0,10.93,0,0.0,0
5631.711119026466,1,10.98,0,0.0,0
5675.0805692627,0,11.09,0,0.0,0
5658.41134229807,1,11.13,0,0.0,0
5641.672775515582,1,11.07,0,0.0,0
5668.648175378172,7,11.11,0,0.0,0
5650.08989069213,0,11.17,0,0.0,0
5653.6863131135315,0,11.17,0,0.0,0
5667.961908979208,6,11.33,0,0.0,0
5641.217639811616,1,11.37,0,0.0,0
5662.56834835667,0,11.31,0,0.0,0
5676.449668896209,0,11.41,0,0.0,0
5650.89457207139,7,11.41,0,0.0,0
5634.453301882314,5,11.54,0,0.0,0
5676.680812185611,0,11.6,0,0.0,0
5643.754526407332,0,11.59,0,0.0,0
5624.087234663333,4,11.57,0,0.0,0
5666.726096948235,0,11.68,0,0.0,0
5640.523453746542,1,11.69,0,0.0,0
5654.41895750902,5,11.76,0,0.0,0
5640.084755571859,0,11.62,0,0.0,0
5654.125753067373,0,11.57,0,0.0,0
5658.186266711901,0,11.48,0,0.0,0
5645.790328147785,0,11.42,0,0.0,0
5663.400454858603,7,11.34,0,0.0,0
5639.682253919587,1,11.35,0,0.0,0
5653.78794543064,6,11.17,0,0.0,0
