;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
158,-3.042,3.01974,3.20276
159,-3.041,3.01974,3.20276
160,-3.04,3.01974,3.22106
161,-3.039,3.03804,3.22106
162,-3.038,3.03804,3.25766
163,-3.037,3.03804,3.23936
164,-3.036,3.03804,3.23936
165,-3.035,3.03804,3.23936
166,-3.034,3.01974,3.23936
167,-3.033,3.01974,3.20276
168,-3.032,3.01974,3.20276
169,-3.031,3.01974,3.20276
170,-3.03,3.01974,3.20276
171,-3.029,3.00144,3.20276
172,-3.028,3.00144,3.20276
173,-3.027,3.00144,3.18446
174,-3.026,3.00144,3.18446
175,-3.025,3.01974,3.20276
176,-3.024,3.03804,3.22106
177,-3.023,3.00144,3.18446
178,-3.022,3.00144,3.20276
179,-3.021,3.03804,3.20276
180,-3.02,3.01974,3.22106
181,-3.019,3.01974,3.22106
182,-3.018,3.07465,3.25766
183,-3.017,3.03804,3.23936
184,-3.016,3.03804,3.23936
185,-3.015,3.03804,3.23936
186,-3.014,3.01974,3.23936
187,-3.013,3.01974,3.20276
188,-3.012,3.01974,3.20276
189,-3.011,3.03804,3.20276
190,-3.01,3.00144,3.20276
191,-3.009,3.00144,3.22106
192,-3.008,3.00144,3.18446
193,-3.007,3.00144,3.18446
194,-3.006,3.00144,3.18446
195,-3.005,3.01974,3.20276
196,-3.004,3.03804,3.22106
197,-3.003,3.00144,3.18446
198,-3.002,3.01974,3.20276
199,-3.001,3.01974,3.20276
200,-3,3.01974,3.22106
201,-2.999,3.01974,3.22106
202,-2.998,3.07465,3.25766
203,-2.997,3.03804,3.23936
204,-2.996,3.03804,3.23936
205,-2.995,3.03804,3.23936
206,-2.994,3.01974,3.23936
207,-2.993,3.01974,3.20276
208,-2.992,3.01974,3.20276
209,-2.991,3.01974,3.20276
210,-2.99,3.03804,3.20276
211,-2.989,3.00144,3.22106
212,-2.988,3.00144,3.18446
213,-2.987,3.00144,3.18446
214,-2.986,3.00144,3.18446
215,-2.985,3.01974,3.20276
216,-2.984,3.03804,3.22106
217,-2.983,3.00144,3.18446
218,-2.982,3.01974,3.20276
219,-2.981,3.01974,3.20276
220,-2.98,3.01974,3.22106
221,-2.979,3.01974,3.22106
222,-2.978,3.07465,3.25766
223,-2.977,3.03804,3.23936
224,-2.976,3.03804,3.23936
225,-2.975,3.03804,3.23936
226,-2.974,3.01974,3.23936
227,-2.973,3.01974,3.20276
228,-2.972,3.01974,3.20276
229,-2.971,3.03804,3.20276
230,-2.97,3.00144,3.20276
231,-2.969,3.00144,3.20276
232,-2.968,3.00144,3.22106
233,-2.967,3.00144,3.18446
234,-2.966,3.00144,3.18446
235,-2.965,3.01974,3.20276
236,-2.964,3.01974,3.20276
