;Scopy version,f4beeb1
;Exported on,vendredi octobre 11/10/2024
;Device,M2K
;Nr of samples,98304
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
155,-0.8037,0.16777,-0.0697199
156,-0.8036,0.16777,-0.0697199
157,-0.8035,0.16777,-0.0697199
158,-0.8034,0.16777,-0.0697199
159,-0.8033,0.16777,-0.0697199
160,-0.8032,0.16777,-0.0697199
161,-0.8031,0.16777,-0.0697199
162,-0.803,0.16777,-0.0697199
163,-0.8029,0.16777,-0.0697199
164,-0.8028,0.16777,-0.0697199
165,-0.8027,0.16777,-0.0697199
166,-0.8026,0.16777,-0.0697199
167,-0.8025,0.16777,-0.0697199
168,-0.8024,0.16777,-0.0697199
169,-0.8023,0.16777,-0.0697199
170,-0.8022,0.16777,-0.0697199
171,-0.8021,0.16777,-0.0697199
172,-0.802,0.16777,-0.0697199
173,-0.8019,0.16777,-0.0697199
174,-0.8018,0.16777,-0.0697199
175,-0.8017,0.16777,-0.0697199
176,-0.8016,0.16777,-0.0697199
177,-0.8015,0.16777,-0.0697199
178,-0.8014,0.16777,-0.0697199
179,-0.8013,0.16777,-0.0697199
180,-0.8012,0.16777,-0.0697199
181,-0.8011,0.16777,-0.0697199
182,-0.801,0.16777,-0.0697199
183,-0.8009,0.16777,-0.0697199
184,-0.8008,0.16777,-0.0697199
185,-0.8007,0.16777,-0.0697199
186,-0.8006,0.16777,-0.0697199
187,-0.8005,0.16777,-0.0697199
188,-0.8004,0.16777,-0.0697199
189,-0.8003,0.16777,-0.0697199
190,-0.8002,0.16777,-0.0697199
191,-0.8001,0.16777,-0.0697199
192,-0.8,0.16777,-0.0697199
193,-0.7999,0.16777,-0.0697199
194,-0.7998,0.16777,-0.0697199
195,-0.7997,0.16777,-0.0697199
196,-0.7996,0.16777,-0.0697199
197,-0.7995,0.16777,-0.0697199
198,-0.7994,0.16777,-0.0697199
199,-0.7993,0.16777,-0.0697199
200,-0.7992,0.16777,-0.0697199
201,-0.7991,0.16777,-0.0697199
202,-0.799,0.16777,-0.0697199
203,-0.7989,0.16777,-0.0697199
204,-0.7988,0.16777,-0.0697199
205,-0.7987,0.16777,-0.0697199
206,-0.7986,0.16777,-0.0697199
207,-0.7985,0.16777,-0.0697199
208,-0.7984,0.16777,-0.0697199
209,-0.7983,0.16777,-0.0697199
210,-0.7982,0.16777,-0.0697199
211,-0.7981,0.16777,-0.0697199
212,-0.798,0.16777,-0.0697199
213,-0.7979,0.16777,-0.0697199
214,-0.7978,0.16777,-0.0697199
215,-0.7977,0.16777,-0.0697199
216,-0.7976,0.16777,-0.0697199
217,-0.7975,0.16777,-0.0697199
218,-0.7974,0.16777,-0.0697199
219,-0.7973,0.16777,-0.0697199
220,-0.7972,0.16777,-0.0697199
221,-0.7971,0.16777,-0.0697199
222,-0.797,0.16777,-0.0697199
223,-0.7969,0.16777,-0.0697199
224,-0.7968,0.16777,-0.0697199
225,-0.7967,0.16777,-0.0697199
226,-0.7966,0.16777,-0.0697199
227,-0.7965,0.16777,-0.0697199
228,-0.7964,0.16777,-0.0697199
229,-0.7963,0.16777,-0.0697199
230,-0.7962,0.16777,-0.0697199
231,-0.7961,0.16777,-0.0697199
232,-0.796,0.16777,-0.0697199
233,-0.7959,0.16777,-0.0697199
234,-0.7958,0.16777,-0.0697199
235,-0.7957,0.16777,-0.0697199
236,-0.7956,0.16777,-0.0697199
237,-0.7955,0.16777,-0.0697199
238,-0.7954,0.16777,-0.0697199
239,-0.7953,0.16777,-0.0697199
240,-0.7952,0.16777,-0.0697199
241,-0.7951,0.16777,-0.0697199
242,-0.795,0.16777,-0.0697199
243,-0.7949,0.16777,-0.0697199
244,-0.7948,0.16777,-0.0697199
245,-0.7947,0.16777,-0.0697199
246,-0.7946,0.16777,-0.0697199
247,-0.7945,0.16777,-0.0697199
248,-0.7944,0.16777,-0.0697199
249,-0.7943,0.16777,-0.0697199
250,-0.7942,0.16777,-0.0697199
251,-0.7941,0.16777,-0.0697199
252,-0.794,0.16777,-0.0697199
253,-0.7939,0.16777,-0.0697199
254,-0.7938,0.16777,-0.0697199
255,-0.7937,0.16777,-0.0697199
256,-0.7936,0.16777,-0.0697199
257,-0.7935,0.16777,-0.0697199
258,-0.7934,0.16777,-0.0697199
259,-0.7933,0.16777,-0.0697199
260,-0.7932,0.16777,-0.0697199
261,-0.7931,0.16777,-0.0697199
262,-0.793,0.16777,-0.0697199
263,-0.7929,0.16777,-0.0697199
264,-0.7928,0.16777,-0.0697199
265,-0.7927,0.16777,-0.0697199
266,-0.7926,0.16777,-0.0697199
267,-0.7925,0.16777,-0.0697199
268,-0.7924,0.16777,-0.0697199
269,-0.7923,0.16777,-0.0697199
270,-0.7922,0.16777,-0.0697199
271,-0.7921,0.16777,-0.0697199
272,-0.792,0.16777,-0.0697199
273,-0.7919,0.16777,-0.0697199
274,-0.7918,0.16777,-0.0697199
275,-0.7917,0.16777,-0.0697199
276,-0.7916,0.16777,-0.0697199
277,-0.7915,0.16777,-0.0697199
278,-0.7914,0.16777,-0.0697199
279,-0.7913,0.16777,-0.0697199
280,-0.7912,0.16777,-0.0697199
281,-0.7911,0.16777,-0.0697199
282,-0.791,0.16777,-0.0697199
283,-0.7909,0.16777,-0.0697199
284,-0.7908,0.16777,-0.0697199
285,-0.7907,0.16777,-0.0697199
286,-0.7906,0.16777,-0.0697199
287,-0.7905,0.16777,-0.0697199
288,-0.7904,0.16777,-0.0697199
289,-0.7903,0.16777,-0.0697199
290,-0.7902,0.16777,-0.0697199
291,-0.7901,0.16777,-0.0697199
292,-0.79,0.16777,-0.0697199
293,-0.7899,0.16777,-0.0697199
294,-0.7898,0.16777,-0.0697199
295,-0.7897,0.16777,-0.0697199
296,-0.7896,0.16777,-0.0697199
297,-0.7895,0.16777,-0.0697199
298,-0.7894,0.16777,-0.0697199
299,-0.7893,0.16777,-0.0697199
300,-0.7892,0.16777,-0.0697199
301,-0.7891,0.16777,-0.0697199
302,-0.789,0.16777,-0.0697199
303,-0.7889,0.16777,-0.0697199
304,-0.7888,0.16777,-0.0697199
305,-0.7887,0.16777,-0.0697199
306,-0.7886,0.16777,-0.0697199
307,-0.7885,0.16777,-0.0697199
308,-0.7884,0.16777,-0.0697199
309,-0.7883,0.16777,-0.0697199
310,-0.7882,0.16777,-0.0697199
311,-0.7881,0.16777,-0.0697199
312,-0.788,0.16777,-0.0697199
313,-0.7879,0.16777,-0.0697199
314,-0.7878,0.16777,-0.0697199
315,-0.7877,0.16777,-0.0697199
316,-0.7876,0.16777,-0.0697199
317,-0.7875,0.16777,-0.0697199
318,-0.7874,0.16777,-0.0697199
319,-0.7873,0.16777,-0.0697199
320,-0.7872,0.16777,-0.0697199
321,-0.7871,0.16777,-0.0697199
322,-0.787,0.16777,-0.0697199
323,-0.7869,0.16777,-0.0697199
324,-0.7868,0.16777,-0.0697199
325,-0.7867,0.16777,-0.0697199
326,-0.7866,0.16777,-0.0697199
327,-0.7865,0.16777,-0.0697199
328,-0.7864,0.16777,-0.0697199
329,-0.7863,0.16777,-0.0697199
330,-0.7862,0.16777,-0.0697199
331,-0.7861,0.16777,-0.0697199
332,-0.786,0.16777,-0.0697199
333,-0.7859,0.16777,-0.0697199
334,-0.7858,0.16777,-0.0697199
335,-0.7857,0.16777,-0.0697199
336,-0.7856,0.16777,-0.0697199
337,-0.7855,0.16777,-0.0697199
338,-0.7854,0.16777,-0.0697199
339,-0.7853,0.16777,-0.0697199
340,-0.7852,0.16777,-0.0697199
341,-0.7851,0.16777,-0.0697199
342,-0.785,0.16777,-0.0697199
343,-0.7849,0.16777,-0.0697199
344,-0.7848,0.16777,-0.0697199
345,-0.7847,0.16777,-0.0697199
346,-0.7846,0.16777,-0.0697199
347,-0.7845,0.16777,-0.0697199
348,-0.7844,0.16777,-0.0697199
349,-0.7843,0.16777,-0.0697199
350,-0.7842,0.16777,-0.0697199
351,-0.7841,0.16777,-0.0697199
352,-0.784,0.16777,-0.0697199
353,-0.7839,0.16777,-0.0697199
354,-0.7838,0.16777,-0.0697199
355,-0.7837,0.16777,-0.0697199
356,-0.7836,0.16777,-0.0697199
357,-0.7835,0.16777,-0.0697199
358,-0.7834,0.16777,-0.0697199
359,-0.7833,0.16777,-0.0697199
360,-0.7832,0.16777,-0.0697199
361,-0.7831,0.16777,-0.0697199
362,-0.783,0.16777,-0.0697199
363,-0.7829,0.16777,-0.0697199
364,-0.7828,0.16777,-0.0697199
365,-0.7827,0.16777,-0.0697199
366,-0.7826,0.16777,-0.0697199
367,-0.7825,0.16777,-0.0697199
368,-0.7824,0.16777,-0.0697199
369,-0.7823,0.16777,-0.0697199
370,-0.7822,0.16777,-0.0697199
371,-0.7821,0.16777,-0.0697199
372,-0.782,0.16777,-0.0697199
373,-0.7819,0.16777,-0.0697199
374,-0.7818,0.16777,-0.0697199
375,-0.7817,0.16777,-0.0697199
376,-0.7816,0.16777,-0.0697199
377,-0.7815,0.16777,-0.0697199
378,-0.7814,0.16777,-0.0697199
379,-0.7813,0.16777,-0.0697199
380,-0.7812,0.16777,-0.0697199
381,-0.7811,0.16777,-0.0697199
382,-0.781,0.16777,-0.0697199
383,-0.7809,0.16777,-0.0697199
384,-0.7808,0.16777,-0.0697199
385,-0.7807,0.16777,-0.0697199
386,-0.7806,0.16777,-0.0697199
387,-0.7805,0.16777,-0.0697199
388,-0.7804,0.16777,-0.0697199
389,-0.7803,0.16777,-0.0697199
390,-0.7802,0.16777,-0.0697199
391,-0.7801,0.16777,-0.0697199
392,-0.78,0.16777,-0.0697199
393,-0.7799,0.16777,-0.0697199
394,-0.7798,0.16777,-0.0697199
395,-0.7797,0.16777,-0.0697199
396,-0.7796,0.16777,-0.0697199
397,-0.7795,0.16777,-0.0697199
398,-0.7794,0.16777,-0.0697199
399,-0.7793,0.16777,-0.0697199
400,-0.7792,0.16777,-0.0697199
401,-0.7791,0.16777,-0.0697199
402,-0.779,0.16777,-0.0697199
403,-0.7789,0.16777,-0.0697199
404,-0.7788,0.16777,-0.0697199
405,-0.7787,0.16777,-0.0697199
406,-0.7786,0.16777,-0.0697199
407,-0.7785,0.16777,-0.0697199
408,-0.7784,0.16777,-0.0697199
409,-0.7783,0.16777,-0.0697199
410,-0.7782,0.16777,-0.0697199
411,-0.7781,0.16777,-0.0697199
412,-0.778,0.16777,-0.0697199
413,-0.7779,0.16777,-0.0697199
414,-0.7778,0.16777,-0.0697199
415,-0.7777,0.16777,-0.0697199
416,-0.7776,0.16777,-0.0697199
417,-0.7775,0.16777,-0.0697199
418,-0.7774,0.16777,-0.0697199
419,-0.7773,0.16777,-0.0697199
420,-0.7772,0.16777,-0.0697199
421,-0.7771,0.16777,-0.0697199
422,-0.777,0.16777,-0.0697199
423,-0.7769,0.16777,-0.0697199
424,-0.7768,0.16777,-0.0697199
425,-0.7767,0.16777,-0.0697199
426,-0.7766,0.16777,-0.0697199
427,-0.7765,0.16777,-0.0697199
428,-0.7764,0.16777,-0.0697199
429,-0.7763,0.16777,-0.0697199
430,-0.7762,0.16777,-0.0697199
431,-0.7761,0.16777,-0.0697199
432,-0.776,0.16777,-0.0697199
433,-0.7759,0.16777,-0.0697199
434,-0.7758,0.16777,-0.0697199
435,-0.7757,0.16777,-0.0697199
436,-0.7756,0.16777,-0.0697199
437,-0.7755,0.16777,-0.0697199
438,-0.7754,0.16777,-0.0697199
439,-0.7753,0.16777,-0.0697199
440,-0.7752,0.16777,-0.0697199
441,-0.7751,0.16777,-0.0697199
442,-0.775,0.16777,-0.0697199
443,-0.7749,0.16777,-0.0697199
444,-0.7748,0.16777,-0.0697199
445,-0.7747,0.16777,-0.0697199
446,-0.7746,0.16777,-0.0697199
447,-0.7745,0.16777,-0.0697199
448,-0.7744,0.16777,-0.0697199
449,-0.7743,0.16777,-0.0697199
450,-0.7742,0.16777,-0.0697199
451,-0.7741,0.16777,-0.0697199
452,-0.774,0.16777,-0.0697199
453,-0.7739,0.16777,-0.0697199
454,-0.7738,0.16777,-0.0697199
455,-0.7737,0.16777,-0.0697199
456,-0.7736,0.16777,-0.0697199
457,-0.7735,0.16777,-0.0697199
458,-0.7734,0.16777,-0.0697199
459,-0.7733,0.16777,-0.0697199
460,-0.7732,0.16777,-0.0697199
461,-0.7731,0.16777,-0.0697199
462,-0.773,0.16777,-0.0697199
463,-0.7729,0.16777,-0.0697199
464,-0.7728,0.16777,-0.0697199
465,-0.7727,0.16777,-0.0697199
466,-0.7726,0.16777,-0.0697199
467,-0.7725,0.16777,-0.0697199
468,-0.7724,0.16777,-0.0697199
469,-0.7723,0.16777,-0.0697199
470,-0.7722,0.16777,-0.0697199
471,-0.7721,0.16777,-0.0697199
472,-0.772,0.16777,-0.0697199
473,-0.7719,0.16777,-0.0697199
474,-0.7718,0.16777,-0.0697199
475,-0.7717,0.16777,-0.0697199
476,-0.7716,0.16777,-0.0697199
477,-0.7715,0.16777,-0.0697199
478,-0.7714,0.16777,-0.0697199
479,-0.7713,0.16777,-0.0697199
480,-0.7712,0.16777,-0.0697199
481,-0.7711,0.16777,-0.0697199
482,-0.771,0.16777,-0.0697199
483,-0.7709,0.16777,-0.0697199
484,-0.7708,0.16777,-0.0697199
485,-0.7707,0.16777,-0.0697199
486,-0.7706,0.16777,-0.0697199
487,-0.7705,0.16777,-0.0697199
488,-0.7704,0.16777,-0.0697199
489,-0.7703,0.16777,-0.0697199
490,-0.7702,0.16777,-0.0697199
491,-0.7701,0.16777,-0.0697199
492,-0.77,0.16777,-0.0697199
493,-0.7699,0.16777,-0.0697199
494,-0.7698,0.16777,-0.0697199
495,-0.7697,0.16777,-0.0697199
496,-0.7696,0.16777,-0.0697199
497,-0.7695,0.16777,-0.0697199
498,-0.7694,0.16777,-0.0697199
499,-0.7693,0.16777,-0.0697199
500,-0.7692,0.16777,-0.0697199
501,-0.7691,0.16777,-0.0697199
502,-0.769,0.16777,-0.0697199
503,-0.7689,0.16777,-0.0697199
504,-0.7688,0.16777,-0.0697199
505,-0.7687,0.16777,-0.0697199
506,-0.7686,0.16777,-0.0697199
507,-0.7685,0.16777,-0.0697199
508,-0.7684,0.16777,-0.0697199
509,-0.7683,0.16777,-0.0697199
510,-0.7682,0.16777,-0.0697199
511,-0.7681,0.16777,-0.0697199
512,-0.768,0.16777,-0.0697199
513,-0.7679,0.16777,-0.0697199
514,-0.7678,0.16777,-0.0697199
515,-0.7677,0.16777,-0.0697199
516,-0.7676,0.16777,-0.0697199
517,-0.7675,0.16777,-0.0697199
518,-0.7674,0.16777,-0.0697199
519,-0.7673,0.16777,-0.0697199
520,-0.7672,0.16777,-0.0697199
521,-0.7671,0.16777,-0.0697199
522,-0.767,0.16777,-0.0697199
523,-0.7669,0.16777,-0.0697199
524,-0.7668,0.16777,-0.0697199
525,-0.7667,0.16777,-0.0697199
526,-0.7666,0.16777,-0.0697199
527,-0.7665,0.16777,-0.0697199
528,-0.7664,0.16777,-0.0697199
529,-0.7663,0.16777,-0.0697199
530,-0.7662,0.16777,-0.0697199
531,-0.7661,0.16777,-0.0697199
532,-0.766,0.16777,-0.0697199
533,-0.7659,0.16777,-0.0697199
534,-0.7658,0.16777,-0.0697199
535,-0.7657,0.16777,-0.0697199
536,-0.7656,0.16777,-0.0697199
537,-0.7655,0.16777,-0.0697199
538,-0.7654,0.16777,-0.0697199
539,-0.7653,0.16777,-0.0697199
540,-0.7652,0.16777,-0.0697199
541,-0.7651,0.16777,-0.0697199
542,-0.765,0.16777,-0.0697199
543,-0.7649,0.16777,-0.0697199
544,-0.7648,0.16777,-0.0697199
545,-0.7647,0.16777,-0.0697199
546,-0.7646,0.16777,-0.0697199
547,-0.7645,0.16777,-0.0697199
548,-0.7644,0.16777,-0.0697199
549,-0.7643,0.16777,-0.0697199
550,-0.7642,0.16777,-0.0697199
551,-0.7641,0.16777,-0.0697199
552,-0.764,0.16777,-0.0697199
553,-0.7639,0.16777,-0.0697199
554,-0.7638,0.16777,-0.0697199
555,-0.7637,0.16777,-0.0697199
556,-0.7636,0.16777,-0.0697199
557,-0.7635,0.16777,-0.0697199
558,-0.7634,0.16777,-0.0697199
559,-0.7633,0.16777,-0.0697199
560,-0.7632,0.16777,-0.0697199
561,-0.7631,0.16777,-0.0697199
562,-0.763,0.16777,-0.0697199
563,-0.7629,0.16777,-0.0697199
564,-0.7628,0.16777,-0.0697199
565,-0.7627,0.16777,-0.0697199
566,-0.7626,0.16777,-0.0697199
567,-0.7625,0.16777,-0.0697199
568,-0.7624,0.16777,-0.0697199
569,-0.7623,0.16777,-0.0697199
570,-0.7622,0.16777,-0.0697199
571,-0.7621,0.16777,-0.0697199
572,-0.762,0.16777,-0.0697199
573,-0.7619,0.16777,-0.0697199
574,-0.7618,0.16777,-0.0697199
575,-0.7617,0.16777,-0.0697199
576,-0.7616,0.16777,-0.0697199
577,-0.7615,0.16777,-0.0697199
578,-0.7614,0.16777,-0.0697199
579,-0.7613,0.16777,-0.0697199
580,-0.7612,0.16777,-0.0697199
581,-0.7611,0.16777,-0.0697199
582,-0.761,0.16777,-0.0697199
583,-0.7609,0.16777,-0.0697199
584,-0.7608,0.16777,-0.0697199
585,-0.7607,0.16777,-0.0697199
586,-0.7606,0.16777,-0.0697199
587,-0.7605,0.16777,-0.0697199
588,-0.7604,0.16777,-0.0697199
589,-0.7603,0.16777,-0.0697199
590,-0.7602,0.16777,-0.0697199
591,-0.7601,0.16777,-0.0697199
592,-0.76,0.16777,-0.0697199
593,-0.7599,0.16777,-0.0697199
594,-0.7598,0.16777,-0.0697199
595,-0.7597,0.16777,-0.0697199
596,-0.7596,0.16777,-0.0697199
597,-0.7595,0.16777,-0.0697199
598,-0.7594,0.16777,-0.0697199
599,-0.7593,0.16777,-0.0697199
600,-0.7592,0.16777,-0.0697199
601,-0.7591,0.16777,-0.0697199
602,-0.759,0.16777,-0.0697199
603,-0.7589,0.16777,-0.0697199
604,-0.7588,0.16777,-0.0697199
605,-0.7587,0.16777,-0.0697199
606,-0.7586,0.16777,-0.0697199
607,-0.7585,0.16777,-0.0697199
608,-0.7584,0.16777,-0.0697199
609,-0.7583,0.16777,-0.0697199
610,-0.7582,0.16777,-0.0697199
611,-0.7581,0.16777,-0.0697199
612,-0.758,0.16777,-0.0697199
613,-0.7579,0.16777,-0.0697199
614,-0.7578,0.16777,-0.0697199
615,-0.7577,0.16777,-0.0697199
616,-0.7576,0.16777,-0.0697199
617,-0.7575,0.16777,-0.0697199
618,-0.7574,0.16777,-0.0697199
619,-0.7573,0.16777,-0.0697199
620,-0.7572,0.16777,-0.0697199
621,-0.7571,0.16777,-0.0697199
622,-0.757,0.16777,-0.0697199
623,-0.7569,0.16777,-0.0697199
624,-0.7568,0.16777,-0.0697199
625,-0.7567,0.16777,-0.0697199
626,-0.7566,0.16777,-0.0697199
627,-0.7565,0.16777,-0.0697199
628,-0.7564,0.16777,-0.0697199
629,-0.7563,0.16777,-0.0697199
630,-0.7562,0.16777,-0.0697199
631,-0.7561,0.16777,-0.0697199
632,-0.756,0.16777,-0.0697199
633,-0.7559,0.16777,-0.0697199
634,-0.7558,0.16777,-0.0697199
635,-0.7557,0.16777,-0.0697199
636,-0.7556,0.16777,-0.0697199
637,-0.7555,0.16777,-0.0697199
638,-0.7554,0.16777,-0.0697199
639,-0.7553,0.16777,-0.0697199
640,-0.7552,0.16777,-0.0697199
641,-0.7551,0.16777,-0.0697199
642,-0.755,0.16777,-0.0697199
643,-0.7549,0.16777,-0.0697199
644,-0.7548,0.16777,-0.0697199
645,-0.7547,0.16777,-0.0697199
646,-0.7546,0.16777,-0.0697199
647,-0.7545,0.16777,-0.0697199
648,-0.7544,0.16777,-0.0697199
649,-0.7543,0.16777,-0.0697199
650,-0.7542,0.16777,-0.0697199
651,-0.7541,0.16777,-0.0697199
652,-0.754,0.16777,-0.0697199
653,-0.7539,0.16777,-0.0697199
654,-0.7538,0.16777,-0.0697199
655,-0.7537,0.16777,-0.0697199
656,-0.7536,0.16777,-0.0697199
657,-0.7535,0.16777,-0.0697199
658,-0.7534,0.16777,-0.0697199
659,-0.7533,0.16777,-0.0697199
660,-0.7532,0.16777,-0.0697199
661,-0.7531,0.16777,-0.0697199
662,-0.753,0.16777,-0.0697199
663,-0.7529,0.16777,-0.0697199
664,-0.7528,0.16777,-0.0697199
665,-0.7527,0.16777,-0.0697199
666,-0.7526,0.16777,-0.0697199
667,-0.7525,0.16777,-0.0697199
668,-0.7524,0.16777,-0.0697199
669,-0.7523,0.16777,-0.0697199
670,-0.7522,0.16777,-0.0697199
671,-0.7521,0.16777,-0.0697199
672,-0.752,0.16777,-0.0697199
673,-0.7519,0.16777,-0.0697199
674,-0.7518,0.16777,-0.0697199
675,-0.7517,0.16777,-0.0697199
676,-0.7516,0.16777,-0.0697199
677,-0.7515,0.16777,-0.0697199
678,-0.7514,0.16777,-0.0697199
679,-0.7513,0.16777,-0.0697199
680,-0.7512,0.16777,-0.0697199
681,-0.7511,0.16777,-0.0697199
682,-0.751,0.16777,-0.0697199
683,-0.7509,0.16777,-0.0697199
684,-0.7508,0.16777,-0.0697199
685,-0.7507,0.16777,-0.0697199
686,-0.7506,0.16777,-0.0697199
687,-0.7505,0.16777,-0.0697199
688,-0.7504,0.16777,-0.0697199
689,-0.7503,0.16777,-0.0697199
690,-0.7502,0.16777,-0.0697199
691,-0.7501,0.16777,-0.0697199
