cfo,sto,snr,txp,ber,invalid
6881.805004434275,1,12.84,0,0.0,0
8177.777904157188,7,12.92,0,0.0,0
6439.227244646451,4,12.94,0,0.0,0
8026.443679446938,7,12.92,0,0.0,0
6658.4089637495445,3,12.44,0,0.0,0
7060.89066719724,3,12.84,0,0.0,0
6641.843857737495,5,12.79,0,0.0,0
7821.630496491567,6,14.45,0,0.0,0
7927.948557065816,4,14.36,0,0.0,0
6500.183837076661,4,14.37,0,0.0,0
8245.772437344665,0,14.38,0,0.0,0
8294.11310119543,6,14.4,0,0.0,0
7824.220750870556,2,14.47,0,0.0,0
6436.468132812981,5,14.34,0,0.15875,1
8214.887650010205,6,14.43,0,0.0,0
7778.632558391567,2,14.41,0,0.0,0
6889.520272284235,1,14.4,0,0.0,0
7144.648707806676,6,14.52,0,0.0,0
6832.738632984196,2,14.53,0,0.0,0
6810.263041746623,7,14.5,0,0.0,0
6044.982559610315,7,14.5,0,0.0,0
9021.475124108243,5,14.48,0,0.0,0
7472.041967703927,5,14.47,0,0.0,0
6525.314190035384,2,14.46,0,0.0,0
8581.195438384913,3,14.53,0,0.0,0
7850.438242272173,2,14.48,0,0.0,0
6168.333404427282,4,14.57,0,0.0,0
7957.90842295017,4,14.58,0,0.0,0
7351.878544499632,7,14.55,0,0.0,0
8248.225613621562,4,14.55,0,0.0,0
8258.728926745225,5,14.56,0,0.0,0
7351.649922889913,1,14.58,0,0.0,0
9064.806033930281,1,14.59,0,0.0,0
6856.306580170279,4,14.52,0,0.0,0
6410.165738365431,3,14.56,0,0.0,0
7305.706465710346,0,14.6,0,0.0,0
7613.82625986216,5,14.62,0,0.0,0
8438.996591689556,5,14.67,0,0.0,0
7493.1923125150415,6,14.65,0,0.0,0
6798.893622690705,5,14.71,0,0.0,0
6317.758496400775,0,14.7,0,0.0,0
8281.15661179487,7,14.58,0,0.0,0
7094.25566697406,0,14.58,0,0.0,0
6545.775349786496,0,14.6,0,0.0,0
7784.211494851129,0,14.65,0,0.0,0
6503.318134995789,7,14.68,0,0.0,0
7029.329975726165,3,14.59,0,0.0,0
7747.888643708739,7,14.65,0,0.0,0
7709.337443349634,2,14.73,0,0.0,0
8274.783665844294,3,14.66,0,0.0,0
8738.77644027357,7,14.67,0,0.0,0
7200.16628779157,3,14.65,0,0.0,0
8184.276070242548,6,14.71,0,0.0,0
7471.221870684833,7,14.72,0,0.0,0
6597.003191517669,6,14.69,0,0.0,0
7594.478326082022,3,14.68,0,0.0,0
8216.387445715454,4,14.65,0,0.0,0
7227.434395096769,0,14.64,0,0.0,0
8051.296081651938,0,14.72,0,0.0,0
5907.555358960119,1,14.68,0,0.0,0
6915.715945026003,5,14.65,0,0.0,0
7240.173172217535,4,14.61,0,0.0,0
8610.383113438102,0,14.69,0,0.0,0
7833.790130488959,6,14.71,0,0.0,0
7950.577353241022,1,14.75,0,0.0,0
8210.993493545913,3,14.67,0,0.0,0
7966.980242260285,5,14.7,0,0.0,0
7486.291924178559,5,14.65,0,0.0,0
5700.285205178312,7,14.68,0,0.0,0
7124.413798071821,4,14.67,0,0.0,0
9028.815680191237,3,14.68,0,0.0,0
6746.279347421759,7,14.61,0,0.0,0
8082.414233783039,6,14.74,0,0.0,0
8018.266425190618,7,14.72,0,0.0,0
7358.57118124886,5,14.74,0,0.0,0
7058.57931220936,1,14.75,0,0.0,0
8271.755615312255,6,14.76,0,0.0,0
7656.245529157478,0,14.71,0,0.0,0
7853.124309027019,2,14.72,0,0.0,0
8133.689033064756,4,14.69,0,0.0,0
7845.267694206735,4,14.75,0,0.0,0
6867.52231996987,6,14.79,0,0.0,0
6095.274570561457,3,14.72,0,0.0,0
6091.041276232126,5,14.73,0,0.0,0
6674.566630004856,5,14.71,0,0.0,0
8856.534593388898,5,16.0,0,0.0,0
8079.844375107822,2,15.99,0,0.0,0
7892.3106221151975,1,15.99,0,0.0,0
7365.859087957001,4,15.99,0,0.0,0
6703.106385724278,6,16.03,0,0.0,0
7009.904727999172,7,16.0,0,0.0,0
6881.748560509884,7,16.03,0,0.0,0
8281.416538438285,6,15.96,0,0.0,0
7745.17980965666,6,16.02,0,0.0,0
7245.521115473916,3,16.03,0,0.0,0
8181.96518957336,3,16.03,0,0.0,0
7118.467264625678,3,16.01,0,0.0,0
7040.21701267195,5,16.01,0,0.0,0
6465.863085134732,5,15.98,0,0.0,0
6635.604195339472,1,16.03,0,0.0,0
7425.2717730435725,2,16.04,0,0.0,0
7276.061547437721,1,16.0,0,0.0,0
7238.021188310288,4,16.01,0,0.0,0
7604.6733320556505,6,15.97,0,0.0,0
8113.845436251099,5,16.01,0,0.0,0
7003.444507409201,6,16.01,0,0.0,0
8057.9839752142425,6,16.01,0,0.0,0
7016.4218668322255,3,16.04,0,0.0,0
7941.826647685636,1,15.96,0,0.0,0
6989.835829806643,2,15.95,0,0.0,0
7273.301012648174,3,15.99,0,0.0,0
8005.1771265561965,5,15.98,0,0.0,0
8130.027292759721,5,15.97,0,0.0,0
7011.481837651276,7,15.95,0,0.0,0
6657.358822164655,7,16.02,0,0.0,0
6582.225318338438,2,15.99,0,0.0,0
6723.200897126194,0,15.97,0,0.0,0
7685.627674874535,7,15.95,0,0.0,0
7077.740364424707,2,16.05,0,0.0,0
6794.443090400273,4,16.0,0,0.0,0
6701.341920188691,3,15.98,0,0.0,0
7554.281714179112,3,16.0,0,0.0,0
6488.711016545809,2,15.97,0,0.0,0
8273.207979148268,4,16.02,0,0.0,0
7978.838209569335,5,16.03,0,0.0,0
7371.761984083447,4,16.08,0,0.0,0
6836.159419393511,5,16.03,0,0.0,0
7278.826825414191,3,16.05,0,0.0,0
8164.170649510707,0,16.01,0,0.0,0
6851.842292637768,3,16.08,0,0.0,0
5917.69060077851,6,16.06,0,0.0,0
7869.647200675449,2,16.08,0,0.0,0
6609.423226477167,1,16.06,0,0.0,0
7309.991935095836,1,16.06,0,0.0,0
8527.335602229823,4,16.03,0,0.0,0
7131.011096763883,6,16.05,0,0.0,0
7668.525165784038,7,16.05,0,0.0,0
7204.490651309834,4,16.06,0,0.0,0
6532.5157707415165,6,16.02,0,0.0,0
7631.842306754146,2,16.03,0,0.0,0
6919.889000881404,7,16.02,0,0.0,0
6648.492857167025,7,16.02,0,0.0,0
7683.624152717997,0,16.04,0,0.0,0
6709.417195926154,4,16.04,0,0.0,0
8057.181427986766,1,16.05,0,0.0,0
7956.800888803504,6,16.11,0,0.0,0
6915.453646789128,7,16.04,0,0.0,0
7195.840501317229,4,16.06,0,0.0,0
7215.664176745806,5,16.09,0,0.0,0
7465.616372378499,5,16.04,0,0.0,0
6828.2022490104455,1,16.08,0,0.0,0
7133.570520427868,2,16.04,0,0.0,0
5946.2407915091635,6,16.02,0,0.0,0
6609.082665656051,2,16.03,0,0.0,0
7182.300125606371,2,16.02,0,0.0,0
6836.473418367854,2,16.06,0,0.0,0
7380.700045522316,0,16.09,0,0.0,0
6468.082896614986,6,16.05,0,0.0,0
6816.777334667522,7,16.1,0,0.0,0
7155.048619455404,5,16.05,0,0.0,0
6985.530439036073,2,16.08,0,0.0,0
7881.893160674851,7,16.09,0,0.0,0
