;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
172,0.172,0.549541,-0.0549044
173,0.173,0.553019,-0.0549044
174,0.174,0.549541,-0.0549044
175,0.175,0.549541,-0.0549044
176,0.176,0.549541,-0.0549044
177,0.177,0.55128,-0.0549044
178,0.178,0.55128,-0.0549044
179,0.179,0.55128,-0.0549044
180,0.18,0.55128,-0.0549044
181,0.181,0.55128,-0.0549044
182,0.182,0.55128,-0.0549044
183,0.183,0.55128,-0.0549044
184,0.184,0.55128,-0.0549044
185,0.185,0.55128,-0.0549044
186,0.186,0.55128,-0.0549044
187,0.187,0.55128,-0.0549044
188,0.188,0.55128,-0.0549044
189,0.189,0.55128,-0.0549044
190,0.19,0.549541,-0.0549044
191,0.191,0.549541,-0.0549044
192,0.192,0.549541,-0.0549044
193,0.193,0.55128,-0.0549044
194,0.194,0.549541,-0.0549044
195,0.195,0.549541,-0.0549044
196,0.196,0.549541,-0.0549044
197,0.197,0.55128,-0.0549044
198,0.198,0.549541,-0.0549044
199,0.199,0.549541,-0.0549044
200,0.2,0.549541,-0.0549044
201,0.201,0.55128,-0.0549044
202,0.202,0.549541,-0.0549044
203,0.203,0.558235,-0.0549044
204,0.204,0.375656,-0.0549044
205,0.205,0.290452,-0.0549044
206,0.206,0.276542,-0.0549044
207,0.207,0.273064,-0.0549044
208,0.208,0.273064,-0.0549044
209,0.209,0.271325,-0.0549044
210,0.21,0.271325,-0.0549044
211,0.211,0.271325,-0.0549044
212,0.212,0.271325,-0.0549044
213,0.213,0.271325,-0.0549044
214,0.214,0.271325,-0.0549044
215,0.215,0.271325,-0.0549044
216,0.216,0.271325,-0.0549044
217,0.217,0.271325,-0.0549044
218,0.218,0.271325,-0.0549044
219,0.219,0.271325,-0.0549044
220,0.22,0.271325,-0.0549044
221,0.221,0.271325,-0.0549044
222,0.222,0.271325,-0.0549044
223,0.223,0.271325,-0.0549044
224,0.224,0.271325,-0.0549044
225,0.225,0.271325,-0.0549044
226,0.226,0.271325,-0.0549044
227,0.227,0.271325,-0.0549044
228,0.228,0.271325,-0.0549044
229,0.229,0.271325,-0.0549044
230,0.23,0.271325,-0.0549044
231,0.231,0.271325,-0.0549044
232,0.232,0.271325,-0.0549044
233,0.233,0.271325,-0.0549044
234,0.234,0.271325,-0.0549044
235,0.235,0.271325,-0.0549044
236,0.236,0.271325,-0.0549044
237,0.237,0.271325,-0.0549044
238,0.238,0.271325,-0.0549044
239,0.239,0.271325,-0.0549044
240,0.24,0.271325,-0.0549044
241,0.241,0.271325,-0.0549044
242,0.242,0.271325,-0.0549044
243,0.243,0.271325,-0.0549044
244,0.244,0.271325,-0.0549044
245,0.245,0.271325,-0.0549044
246,0.246,0.271325,-0.0549044
