;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
162,0.162,0.253115,-0.0549044
163,0.163,0.253115,-0.0549044
164,0.164,0.253115,-0.0549044
165,0.165,0.253115,-0.0549044
166,0.166,0.253115,-0.0549044
167,0.167,0.253115,0
168,0.168,0.253115,0
169,0.169,0.253115,0
170,0.17,0.253115,-0.0366029
171,0.171,0.253115,-0.0366029
172,0.172,0.253115,-0.0366029
173,0.173,0.253115,-0.0549044
174,0.174,0.253115,-0.0549044
175,0.175,0.253115,-0.0549044
176,0.176,0.253115,-0.0549044
177,0.177,0.253115,-0.0549044
178,0.178,0.253115,-0.0549044
179,0.179,0.253115,-0.0549044
180,0.18,0.253115,-0.0549044
181,0.181,0.253115,-0.0549044
182,0.182,0.253115,-0.0549044
183,0.183,0.253115,-0.0549044
184,0.184,0.253115,-0.0549044
185,0.185,0.253115,0
186,0.186,0.253115,0
187,0.187,0.253115,0
188,0.188,0.253115,0
189,0.189,0.253115,0
190,0.19,0.253115,0
191,0.191,0.253115,0
192,0.192,0.253115,-0.0366029
193,0.193,0.256593,-0.0366029
194,0.194,0.247899,-0.0366029
195,0.195,0.371357,-0.0549044
196,0.196,0.496554,-0.0549044
197,0.197,0.48786,-0.0549044
198,0.198,0.329625,-0.0549044
199,0.199,0.268765,-0.0549044
200,0.2,0.258332,-0.0549044
201,0.201,0.256593,-0.0549044
202,0.202,0.253115,-0.0549044
203,0.203,0.253115,-0.0549044
204,0.204,0.253115,-0.0549044
205,0.205,0.253115,-0.0549044
206,0.206,0.253115,-0.0366029
207,0.207,0.253115,0
208,0.208,0.253115,0
209,0.209,0.253115,0
210,0.21,0.253115,0
211,0.211,0.253115,0
212,0.212,0.253115,0
213,0.213,0.253115,-0.0549044
214,0.214,0.253115,-0.0549044
215,0.215,0.253115,-0.0549044
216,0.216,0.253115,-0.0549044
217,0.217,0.253115,-0.0549044
218,0.218,0.253115,-0.0549044
219,0.219,0.253115,-0.0549044
220,0.22,0.253115,-0.0549044
221,0.221,0.253115,-0.0549044
222,0.222,0.253115,-0.0549044
223,0.223,0.253115,-0.0549044
224,0.224,0.253115,-0.0549044
225,0.225,0.253115,-0.0549044
226,0.226,0.253115,-0.0366029
227,0.227,0.253115,-0.0366029
228,0.228,0.253115,-0.0366029
229,0.229,0.253115,0
230,0.23,0.253115,0
231,0.231,0.253115,-0.0549044
232,0.232,0.253115,-0.0549044
233,0.233,0.253115,-0.0549044
234,0.234,0.253115,-0.0549044
235,0.235,0.253115,-0.0549044
236,0.236,0.253115,-0.0549044
237,0.237,0.253115,-0.0549044
238,0.238,0.253115,-0.0549044
239,0.239,0.253115,-0.0549044
240,0.24,0.253115,-0.0549044
241,0.241,0.253115,-0.0549044
242,0.242,0.253115,-0.0549044
243,0.243,0.253115,-0.0549044
244,0.244,0.253115,-0.0549044
245,0.245,0.253115,-0.0366029
246,0.246,0.253115,-0.0366029
247,0.247,0.253115,-0.0366029
248,0.248,0.253115,0
249,0.249,0.253115,0
250,0.25,0.253115,-0.0366029
251,0.251,0.253115,-0.0366029
252,0.252,0.253115,-0.0366029
253,0.253,0.256593,-0.0549044
254,0.254,0.251377,-0.0549044
255,0.255,0.320931,-0.0549044
256,0.256,0.48786,-0.0549044
257,0.257,0.496554,-0.0549044
258,0.258,0.36788,-0.0549044
259,0.259,0.273982,-0.0549044
260,0.26,0.260071,-0.0549044
261,0.261,0.258332,-0.0549044
262,0.262,0.253115,-0.0549044
263,0.263,0.253115,-0.0549044
264,0.264,0.253115,-0.0549044
265,0.265,0.253115,-0.0549044
266,0.266,0.253115,-0.0549044
267,0.267,0.253115,-0.0549044
268,0.268,0.253115,-0.0549044
269,0.269,0.253115,-0.0549044
270,0.27,0.253115,-0.0549044
271,0.271,0.253115,-0.0549044
272,0.272,0.253115,-0.0549044
273,0.273,0.253115,-0.0549044
274,0.274,0.253115,-0.0549044
275,0.275,0.253115,-0.0549044
276,0.276,0.253115,-0.0549044
277,0.277,0.253115,-0.0549044
278,0.278,0.253115,-0.0549044
279,0.279,0.253115,-0.0549044
280,0.28,0.253115,-0.0549044
281,0.281,0.253115,-0.0549044
282,0.282,0.253115,-0.0549044
283,0.283,0.253115,-0.0549044
284,0.284,0.253115,-0.0549044
285,0.285,0.253115,-0.0549044
286,0.286,0.253115,-0.0549044
287,0.287,0.253115,0
288,0.288,0.253115,0
289,0.289,0.253115,-0.0366029
290,0.29,0.253115,-0.0366029
291,0.291,0.253115,-0.0366029
292,0.292,0.253115,-0.0549044
293,0.293,0.253115,-0.0549044
294,0.294,0.253115,-0.0549044
295,0.295,0.253115,-0.0549044
296,0.296,0.253115,-0.0549044
297,0.297,0.253115,-0.0549044
298,0.298,0.253115,-0.0549044
299,0.299,0.253115,-0.0549044
300,0.3,0.253115,-0.0549044
301,0.301,0.253115,-0.0549044
302,0.302,0.253115,-0.0549044
303,0.303,0.253115,-0.0549044
304,0.304,0.253115,-0.0549044
305,0.305,0.253115,-0.0549044
306,0.306,0.253115,0
307,0.307,0.253115,0
308,0.308,0.253115,0
309,0.309,0.253115,0
310,0.31,0.253115,0
311,0.311,0.253115,-0.0366029
312,0.312,0.253115,-0.0366029
313,0.313,0.253115,-0.0366029
314,0.314,0.256593,-0.0549044
315,0.315,0.286154,-0.0549044
316,0.316,0.470472,-0.0549044
317,0.317,0.501771,-0.0549044
318,0.318,0.414828,-0.0549044
319,0.319,0.279198,-0.0549044
320,0.32,0.260071,-0.0549044
321,0.321,0.258332,-0.0549044
322,0.322,0.253115,-0.0549044
323,0.323,0.253115,-0.0549044
324,0.324,0.253115,-0.0366029
325,0.325,0.253115,-0.0366029
326,0.326,0.253115,-0.0366029
327,0.327,0.253115,-0.0366029
328,0.328,0.253115,0
329,0.329,0.253115,0
330,0.33,0.253115,0
331,0.331,0.253115,0
332,0.332,0.253115,-0.0549044
333,0.333,0.253115,-0.0549044
