cfo,sto,snr,txp,ber,invalid
4681.379403455659,7,4.85,0,0.24,1
5249.427738296617,5,4.72,0,0.02875,1
5078.603284198521,5,4.9,0,0.0125,1
6680.309680731975,0,4.73,0,0.045,1
9642.424697027027,6,4.67,0,0.0625,1
4116.4530342478265,3,4.8,0,0.01375,1
4211.828088270592,5,4.99,0,0.01375,1
4268.175251648428,2,4.81,0,0.5225,1
9606.322404076587,7,4.9,0,0.475,1
4411.87721427988,1,4.79,0,0.01375,1
5390.511936064923,0,4.61,0,0.49,1
5151.474287862171,7,4.69,0,0.0675,1
5954.810307324067,5,4.87,0,0.4775,1
9254.441493048762,1,4.65,0,0.0125,1
4758.37935133632,3,4.87,0,0.01625,1
-7985.916941734145,1,4.74,0,0.57625,1
-66.96043691460252,5,4.91,0,0.52,1
4975.264419330997,6,4.75,0,0.06625,1
4371.664949860123,2,4.71,0,0.11875,1
3469.09505665375,2,4.6,0,0.0425,1
6396.380139890623,5,4.84,0,0.505,1
7271.976240540407,3,4.87,0,0.07625,1
2878.2976858490715,7,4.63,0,0.4925,1
3383.241713220805,0,4.86,0,0.08875,1
4016.5814390214696,0,4.9,0,0.02125,1
-2588.8964045726307,6,4.77,0,0.555,1
5441.584201265001,5,4.79,0,0.00875,1
3900.631388761425,6,4.68,0,0.535,1
-620.9539010768519,5,4.79,0,0.52375,1
3833.4626444173505,1,4.85,0,0.02125,1
5267.361253736131,5,4.89,0,0.10125,1
5491.205525585144,0,4.78,0,0.52375,1
7199.9258082145425,1,4.89,0,0.00375,1
4800.862179336415,1,5.01,0,0.53875,1
5960.559049875495,4,4.83,0,0.02375,1
6193.294899931525,2,4.81,0,0.0125,1
9801.363199013223,6,4.86,0,0.02625,1
3556.8326310921025,2,4.78,0,0.48625,1
4567.570902091628,1,4.7,0,0.075,1
-2357.2937018726534,6,2.02,0,0.51625,1
3211.1313811477157,2,4.68,0,0.47875,1
6052.248647658607,4,4.78,0,0.01125,1
4894.5420183526785,0,4.68,0,0.02125,1
5228.701434396475,3,4.85,0,0.50625,1
5147.009526010967,5,4.81,0,0.01,1
9291.022847878488,4,4.73,0,0.03,1
